event	TDC0	TDC1
621	1220637	1220740
622	1850416	1850475
623	1265569	1265557
624	1440020	1440145
625	1335234	1335362
626	1321529	1321639
627	1237903	1238004
628	1395216	1395352
629	1932039	1932203
630	192091	192192
631	603966	604071
632	1296187	1296303
633	1354210	1354347
634	1187458	1187577
635	304245	304337
636	1326138	1326266
637	71783	71812
639	1871477	1871580
640	842602	842741
641	2006623	2006743
642	1415433	1415571
643	516424	516556
644	1784283	1784403
645	757814	757945
646	802499	802601
647	1251135	1251210
648	1388396	1388510
649	1654838	1655110
650	1314451	1314581
651	1488070	1488217
652	1315379	1315358
653	496568	496688
654	1036925	1037026
656	1351050	1351331
657	481606	481730
658	1409502	1409589
659	432333	432437
660	1375365	1375362
661	891772	891998
662	449115	449216
663	1662300	1662421
664	750566	750688
665	1282282	1282365
666	655007	655154
667	1636866	1636982
668	1305500	1305657
669	956085	956177
671	451838	451957
672	643533	643658
673	548710	549378
674	730631	730808
675	1781276	1781385
680	573315	573443
681	1813527	1813685
682	1537147	1536935
683	1646723	1646828
684	458020	458103
685	537213	537357
686	699164	699248
687	1821348	1821421
688	182943	183085
689	1800027	1800140
690	1293390	1293484
691	493622	493770
692	1726204	1726301
693	1080660	1080770
694	533739	533816
695	1180670	1180551
696	311239	310942
697	826498	826640
698	195487	195427
699	335113	335222
701	646812	646503
702	1430128	1430204
703	1870541	1870698
704	48844	48967
705	1990827	1990858
707	1569113	1569229
708	758699	758773
709	862542	862641
710	1543618	1543736
711	1731933	1731989
712	1804436	1804532
713	1164765	1164531
714	794226	794349
715	948208	948326
716	2056005	2056134
717	1775843	1776078
719	127922	128018
720	1370125	1370221
721	287185	287296
722	1580299	1580330
723	280979	281092
724	1368520	1368652
725	169417	169533
726	847501	847629
727	899838	899925
728	285305	285440
729	546782	546867
730	1100795	1100924
731	1744586	1744699
732	946019	946188
733	1333013	1333135
734	909556	909654
735	1878034	1878164
736	707099	707243
737	1219937	1220073
738	2077483	2077492
739	785201	785374
740	202063	202218
741	1159827	1159947
742	497858	497884
743	447774	447906
744	351722	351907
745	1735775	1735891
746	505379	505507
748	165575	165694
749	532048	532161
750	1465431	1465559
751	1205687	1205780
752	1495657	1495745
753	142835	142735
754	1551239	1551335
755	812051	812130
756	795783	795874
757	737382	737530
758	895978	896068
759	573785	573958
760	536832	536995
761	1125948	1125716
762	602377	602482
763	1505120	1505234
764	804773	804848
765	1137321	1137432
766	1947953	1948109
767	1889610	1889400
769	1548554	1548682
770	1179253	1179320
771	1189204	1189346
772	405657	405722
773	1245109	1245237
774	2089715	2089772
775	102552	102674
776	1542476	1542611
777	1320089	1320248
778	582448	582563
779	81393	81363
780	2062016	2061779
781	582956	583101
782	32443	32528
783	631985	632082
784	173204	173180
785	868358	868449
786	245236	245366
787	912368	912443
788	700380	700475
789	75633	75762
790	2034305	2034547
791	1615310	1615427
793	13029	13128
794	1116359	1116444
795	1383500	1383626
796	310490	310554
797	1265653	1265702
798	1496144	1496220
799	1774767	1774891
800	577003	576986
801	1765435	1765542
802	581203	581346
803	250808	250918
804	576833	576973
805	981995	982131
806	1338821	1338975
807	1661817	1661906
808	981248	981306
809	1218131	1218215
810	753110	753232
811	878433	878740
812	1620256	1620395
813	689200	689407
814	860251	860378
815	1393898	1393996
816	763842	763966
817	699739	700109
818	148231	148329
819	518504	518612
820	1213992	1213922
821	1865807	1865988
822	515007	515101
823	999790	999929
824	83426	83555
825	1697916	1698048
830	1291014	1291146
831	2055124	2055259
832	1611886	1611618
833	573487	573590
834	1807486	1807611
835	507343	507468
839	269149	269205
840	760040	760202
841	1535503	1535626
842	286424	286494
843	1192158	1192211
844	2036584	2036723
845	822724	822820
846	1150603	1150351
847	1739230	1739338
848	1093176	1093266
849	1307844	1307913
850	58421	58896
851	2050404	2050493
852	1459649	1459773
853	1042823	1042906
854	1129322	1129417
855	1785971	1785702
856	124880	125003
857	2040866	2040926
858	1818084	1818229
859	1728898	1729026
860	524421	524166
861	1877646	1877580
862	1371019	1371134
863	1520392	1520537
864	1534473	1534587
865	1326019	1326154
866	895655	895599
867	1747753	1747881
868	925228	925385
869	1325326	1325446
870	351810	351924
871	1831346	1831431
872	217058	216950
873	1276581	1276689
874	103266	103380
875	946560	946907
876	88409	88517
877	146177	146356
878	1715797	1715944
879	208678	208785
880	559280	559360
881	333835	333957
882	337122	337180
883	1820573	1820653
884	1487954	1488104
885	140980	141083
886	191593	191633
887	1519057	1519151
888	263530	263654
889	1319317	1319464
890	203730	203737
891	1424382	1424650
892	1321092	1321232
893	1504599	1504777
894	916531	916625
895	459893	460003
896	242192	242318
897	318926	319097
898	1169847	1169971
899	1181897	1181956
901	476535	476609
902	1434927	1435010
903	843509	843483
904	1147540	1147611
905	702442	702536
906	953358	953518
907	1784161	1784248
908	2006729	2006855
909	637782	637922
910	1701503	1701623
911	1531052	1531159
912	1221123	1220869
913	322289	322416
914	491398	491533
915	93149	93271
916	1059565	1059683
921	988352	988480
922	501466	501462
923	461278	461411
924	1992031	1991983
925	781253	781413
926	185463	185581
927	1546688	1546717
928	549181	549143
929	612565	612684
930	34393	34495
931	1445505	1445633
932	1550606	1550739
933	1938367	1938546
934	518218	518307
935	1437482	1437730
936	1592933	1593027
937	834908	835000
938	2030818	2030859
939	1594599	1594721
940	835720	835853
941	1268272	1268399
942	1401588	1401702
943	1123534	1123659
945	1708209	1708333
946	802435	802562
947	1098672	1098807
948	499734	499904
949	1591142	1591323
950	1571918	1571942
951	167068	167194
952	1552523	1552602
953	744374	744482
954	1867219	1867349
955	450152	450299
956	38441	38562
957	1247330	1247451
958	1855506	1855793
959	788089	788191
960	866493	866634
961	343941	344071
962	2071152	2071266
963	1081551	1081662
964	1222547	1222694
965	114527	114522
966	1080991	1081085
967	926085	926122
968	1817785	1817509
969	521065	521154
970	1369841	1370003
971	868514	868616
972	791635	791778
973	1984341	1984470
974	953376	953488
975	1579125	1579220
976	235393	235540
977	63160	63308
978	1383157	1383424
979	499239	499400
980	1090570	1090742
981	1649536	1649582
982	1486940	1487259
983	2059596	2059611
984	1103353	1103443
985	449257	449009
986	26112	26243
987	1588356	1588427
988	1769862	1770294
989	775465	775550
990	934965	935077
991	2026447	2026510
992	34450	34543
993	1323820	1323933
994	2043675	2043336
995	676482	676517
996	908083	907787
997	1313075	1312848
998	1282655	1282769
999	1090356	1090463
1000	261926	261990
1001	1457720	1457847
1002	32740	32882
1003	83505	83665
1004	1532379	1532499
1006	2030686	2030772
1007	854358	854481
1008	61556	61614
1009	127247	127502
1010	2076784	2076885
1011	413733	413819
1012	1379444	1379197
1013	19270	19542
1014	71295	71567
1015	1755760	1755877
1016	1229759	1229616
1017	882243	882322
1018	1572917	1573041
1019	263610	263740
1020	1041964	1042075
1021	1602670	1602841
1022	532758	532882
1023	491119	490894
1024	1738420	1738577
1025	2017883	2017996
1026	1922304	1922378
1027	1079410	1079511
1028	1627964	1628010
1029	936431	936507
1030	1976724	1976835
1031	614517	614651
1032	1971989	1972105
1033	202287	202393
1034	1989018	1989119
1035	708884	708970
1036	507136	507229
1038	1354770	1354871
1039	232492	232680
1040	270072	270350
1041	218831	218932
1042	2063919	2064023
1043	504621	504563
1044	779608	779720
1045	596536	596543
1046	1202351	1202447
1047	1097703	1097710
1048	1616673	1616801
1049	1859730	1859838
1050	1903464	1903545
1051	961238	961360
1052	70826	70968
1053	1040519	1040624
1054	434465	434602
1055	2053246	2053382
1056	141943	141939
1057	1837307	1837429
1058	1346783	1346826
1059	1524902	1524983
1060	1161313	1161251
1061	1453547	1453714
1063	1640287	1640432
1064	1756358	1756415
1065	155420	155522
1066	970251	970471
1067	1722931	1722694
1068	358921	359029
1069	1501480	1501557
1070	1037608	1037716
1075	210343	210464
1076	968415	968550
1077	1821679	1821782
1078	1947879	1947960
