EVENT	TDC1	TRIG
9331	1972573	1975514
9338	638615	641926
9343	687026	689959
9364	1229934	1233602
9373	1441388	1444242
9400	312963	315944
9401	1886361	1889449
9402	167640	170805
9410	471799	474798
9424	462137	465186
9463	228467	232021
9496	856114	859414
9498	32861	35968
9546	947526	950532
9576	1020788	1024238
9582	1820645	1823539
9597	547747	550701
9627	530868	533825
9655	1548292	1551220
9660	666399	669317
9666	1789571	1792498
9679	2013193	2016167
9738	22542	25677
9781	1996212	1999415
9839	62191	65159
9845	790406	793401
9870	680521	683918
9890	247785	250758
9917	246117	249090
9933	1547665	1550650
9942	1762772	1766037
9952	306650	309926
9971	1564964	1568174
9978	1509879	1513066
9997	1071980	1074898
10018	380799	383789
10021	1920466	1923672
10023	703477	706685
10029	1789831	1792837
10037	328869	331855
10044	1490446	1493456
10069	118592	121601
10077	728364	731336
10095	1306358	1309856
10101	2075472	2078479
10160	722485	725619
10188	1877042	1880502
10197	1223574	1226527
10235	1262856	1265792
10246	1804449	1807776
10275	693597	696889
10299	933344	936533
10342	406513	409486
10343	642761	645726
10386	1482097	1485163
10388	180516	183538
10390	1382776	1385730
10399	1469605	1472655
10416	190125	193447
10431	2087964	2091213
10443	295192	298175
10464	1930100	1933401
10471	3085	6630
10478	1198011	1201200
10522	1226635	1229604
10571	560335	563837
10596	898841	901820
10597	1355636	1359002
10599	1695671	1698787
10664	1186125	1189627
10730	1072864	1075863
10734	660290	663228
10757	2061710	2064805
10781	1399989	1403126
10798	732365	735336
10844	1414165	1417095
10866	512204	515181
10894	1432485	1435712
10940	384258	387416
10971	1487387	1490412
11024	355449	358344
11046	1195578	1198690
11120	202038	205217
11126	475975	478928
11145	1058690	1061608
11148	1749042	1752007
11162	828931	832139
11168	1836648	1839605
11176	1537771	1540747
11177	1402725	1406013
11253	1339460	1342682
11296	559215	562272
11300	1689506	1692489
11303	595718	598665
11317	1635022	1638145
11333	1561946	1565001
11347	1967145	1970496
11398	1536848	1540601
11422	1192639	1195746
11454	1871419	1874431
11479	1686934	1689974
11492	1351948	1354966
11504	1499173	1502165
11520	2092707	2095761
11530	271262	274221
11535	1478835	1482162
11599	1253756	1256732
11611	1250778	1253838
11613	930512	933531
11614	1088704	1091931
11631	331600	334645
11652	1553493	1556468
11671	476964	479918
11699	1101744	1104732
11743	1268389	1271390
11783	1867338	1870293
11797	1302489	1305548
11879	1761847	1764995
11926	248974	252018
11927	2026918	2030209
11967	510064	513046
12034	479497	482580
12062	1320444	1323678
12188	368739	371780
12189	1841070	1844035
12224	1736592	1739864
12231	366467	369716
12313	435032	438358
12320	807467	811015
12322	118972	122254
12328	1456876	1460247
12335	727101	730544
12344	332269	335647
12367	437669	440662
12374	502870	505831
12399	1886097	1889144
12422	1879125	1882173
12448	1460971	1464354
12464	927546	930734
12477	793817	797168
12494	318350	321518
12536	1987733	1990755
12574	643429	646573
12626	2069996	2073327
12639	1626316	1629613
12650	124486	127737
12672	223088	226063
12673	660866	664168
12694	1065491	1068485
12712	467140	470088
12760	1958618	1961977
12763	271875	275220
12830	662948	666233
12863	2035977	2038951
12878	1079943	1082893
12901	84245	87230
12944	995136	998321
12955	1349958	1353232
12969	1334373	1337351
12975	1054969	1057913
12980	804949	807994
12985	1910802	1913841
12998	1003367	1006508
13039	768674	771677
13047	839552	842458
13057	652984	655935
13068	1427095	1430213
13095	361618	364895
13101	282628	285629
13127	1343365	1346522
13131	79946	83136
13138	1963965	1966928
13154	1386239	1389636
13155	97072	100184
13161	1607607	1610588
13219	1879455	1882617
13235	2038230	2041182
13247	305063	308126
13271	1376265	1379292
13276	1450519	1453430
13293	1366201	1369168
13359	1608174	1611153
13362	49321	52343
13420	1042738	1045683
13437	1170982	1173949
13449	738627	741752
13460	1382339	1385526
13482	1750064	1753116
13504	771377	774661
13532	736448	739511
13539	1709687	1712750
13545	652219	655657
13600	538155	541350
13613	97354	100304
13615	1990979	1994102
