EVENT	TDC1	TRIG
1523	1944994	1948093
1524	718758	721798
1525	710542	713563
1532	1331454	1334660
1535	1216930	1219996
1537	1926518	1929677
1539	2067714	2070751
1540	1107737	1110853
1542	778432	781463
1543	285685	288760
1544	1578687	1581729
1545	681808	685002
1546	2017874	2021021
1551	911524	914509
1552	1119312	1122408
1557	1370258	1373307
1559	876324	879564
1562	1382	4693
1564	463201	466309
1568	1951073	1954158
1569	1322952	1326154
1570	1951431	1954453
1572	1171566	1174934
1575	12142	15679
1576	910114	913177
1581	403825	407079
1582	718889	722048
1584	1167895	1171048
1585	357180	360657
1587	486319	489327
1589	700299	704244
1591	1963245	1966166
1593	1113087	1116675
1595	1259520	1262561
1597	1053846	1056875
1598	1717141	1720570
1599	1827008	1830045
1602	1853075	1856134
1604	816898	820186
1605	1741852	1745084
1608	1367044	1370077
1611	2070718	2073760
1612	1431692	1434906
1613	1905106	1907881
1614	1051712	1055071
1616	1749006	1752562
1617	1332080	1335436
1618	719110	722225
1620	596354	599896
1621	1514059	1517462
1622	805611	808680
1625	535706	538889
1628	1856961	1860117
1629	33366	36381
1630	1782390	1785525
1631	126144	129220
1633	1311501	1314572
1634	601892	605052
1636	1677510	1680557
1638	1088333	1091525
1639	124086	127281
1640	2032479	2035898
1642	377783	380830
1643	1526024	1529401
1644	1319642	1322731
1645	11282	14489
1648	451193	454679
1653	311207	314529
1654	1088019	1091314
1655	2006779	2009909
1656	178368	181640
1657	1782463	1785583
1660	1541230	1544448
1661	1534582	1537955
1662	432278	435264
1664	1937221	1940561
1667	980254	983249
1668	1878010	1881363
1670	30946	34052
1674	786995	790043
1675	1254193	1257361
1676	891559	894586
1677	1290694	1294028
1678	1056255	1059248
1684	619576	622700
1688	1871618	1875056
1689	95718	98926
1691	331909	334919
1692	491341	494730
1697	379605	382725
1702	1508495	1512032
1703	1228216	1231408
1704	1159356	1162403
1705	1901479	1904650
1707	1423758	1426908
1708	574166	577215
1710	412562	415873
1711	1741471	1744521
1712	1236433	1239571
1713	2023186	2026341
1714	214838	218042
1716	1762590	1766013
1718	341619	344877
1722	684814	687840
1724	1116886	1120050
1725	1754351	1757436
1726	691139	694433
1727	525986	529152
1728	1777868	1780896
1730	275617	279045
1732	1509870	1512960
1733	806860	810172
1734	1173332	1176337
1735	788427	791664
1736	1873555	1876564
1740	1791222	1794530
1741	115740	118798
1745	1214138	1217161
1747	470029	473185
1749	1091	4558
1752	89453	92656
1754	1772650	1775960
1756	1076197	1079471
1757	358970	362526
1758	1592844	1596069
1759	1539918	1543370
1761	368905	371964
1762	231987	235125
1764	1572077	1575231
1766	1833049	1836234
1768	389031	392287
1770	219840	222899
1774	637736	640841
1775	1243169	1246297
1776	1705300	1708404
1777	1143394	1146734
1778	342742	346014
1779	1554866	1557906
1780	1431313	1434416
1782	1694834	1697920
1783	2082213	2085286
1785	638358	641374
1788	609820	613088
1793	1057580	1060873
1796	821469	824750
1797	422076	425450
1801	63363	66624
1803	652728	655768
1804	489671	492849
1805	642702	645766
1806	1766119	1769149
1808	802581	806150
1810	1603576	1607020
1812	614139	617278
1815	2052396	2055782
1817	1132774	1136657
1819	449717	453259
1820	1507477	1510500
1822	404630	407791
1823	693726	696951
1824	88660	91763
1828	1945843	1949126
1830	250261	253716
1835	525666	528713
1839	1443375	1446825
1841	1249994	1253155
1842	618977	622231
1849	1809771	1813111
1850	475891	479218
1851	123403	126464
1853	249334	252346
1855	956001	959192
1856	1788128	1791170
1857	614055	617082
1859	289190	292195
1863	1041449	1044491
1868	1150531	1153563
1871	570858	573897
1873	1382898	1386491
1874	1475255	1478415
1876	1530522	1533683
1877	348382	351713
1878	1388901	1392330
1879	1322434	1325571
1881	1816564	1819816
1884	1956577	1959598
1886	1023559	1026981
1892	21604	24989
1894	1065515	1068746
1896	916560	919813
1898	1347588	1350817
1899	1020700	1023739
1901	763724	767191
1903	1492192	1495351
1904	1522122	1525414
1908	163995	167380
1910	1206979	1210366
1911	391360	394453
1912	751131	754169
1913	606242	609273
1914	905196	908249
1915	319170	322185
1917	1364685	1367789
1918	1263262	1266411
1919	1212808	1216043
1924	1216076	1219101
1926	797293	800403
1927	164426	167250
1929	1304933	1308140
1930	1732781	1736305
1931	817224	820499
1934	203933	207411
1935	964111	967187
1936	1100018	1103081
1938	1496466	1500032
1939	1570132	1573392
1940	209406	212740
1941	1361737	1364811
1943	415348	418565
1944	596530	599575
1947	441654	444763
1948	147868	151215
1950	1685961	1689310
1951	1244490	1247508
1952	1004771	1008064
1953	2034487	2037855
1957	884304	887617
1958	1894361	1897582
1960	940645	943946
1961	802865	806364
1963	1665723	1669130
1965	1005998	1009211
1968	1296711	1299876
1969	734891	738370
1972	1556882	1560112
1974	1764304	1767381
1984	1707892	1711028
1986	963634	966768
1987	1287066	1290413
1989	1263616	1266781
1993	154416	157489
1995	620859	623895
1997	482464	485581
1998	463986	467025
1999	666279	669671
2000	437774	441197
2001	864738	867907
2002	856619	860255
2004	492253	495255
2005	1707973	1711285
2010	456082	459120
2012	627442	630859
2013	759501	762670
2014	374257	377787
2017	1049204	1052560
2019	111568	115157
2020	1295682	1298747
2022	974896	978101
2025	80200	83467
