event	TDC0	TDC1
491	1060335	1060273
492	1404831	1404741
493	380910	380844
494	1312566	1312516
495	715464	715351
496	107270	107173
497	1018226	1018135
498	181749	181682
499	1519116	1519034
500	1305880	1305772
501	1437507	1437459
502	884138	884118
503	79744	79646
504	904689	904594
505	239681	240008
506	1807816	1808078
507	940670	940590
508	1726588	1726501
509	1318110	1317975
510	2074637	2074539
512	2009922	2009841
513	1485449	1485327
514	1281380	1281309
515	263779	264061
516	144805	144798
517	574819	574767
518	1503078	1503003
519	594724	594612
520	161621	161527
521	493458	493409
522	1945361	1945268
523	2008227	2008146
524	664494	664418
525	1297019	1296957
526	193663	193564
527	1700015	1700282
528	1472519	1472730
529	717433	717317
530	221723	221625
531	343608	343836
532	957123	957406
533	83787	84016
534	346950	346907
535	427242	427177
536	1161220	1161133
537	1816211	1816128
538	424472	424407
539	2047694	2047920
540	1746672	1746563
541	793790	793724
542	2033058	2033143
543	1035619	1035538
544	943704	943607
545	480935	480796
546	1304276	1304221
547	667525	667446
548	1040935	1040842
549	746063	746002
550	1604788	1604723
551	71812	72074
552	1604490	1604430
553	855671	855572
554	1645588	1645844
555	1742960	1743176
556	277419	277366
557	1791135	1791373
558	1525157	1525390
559	269094	269064
560	1478865	1478818
561	1278262	1278517
562	848432	848690
563	594205	594131
564	941753	941697
566	1526117	1526008
567	523039	523325
568	1323623	1323839
569	1598492	1598388
570	336950	336877
572	1956816	1956697
573	151666	151617
574	1765387	1765301
575	1164674	1164567
576	373926	373859
577	1261705	1261554
578	1532477	1532376
579	1842395	1842273
580	1099256	1099483
581	1051440	1051377
582	195735	195685
583	434841	434767
584	1210761	1210981
589	58951	58827
590	1525931	1526197
591	1739552	1739493
592	1155936	1155845
593	1134438	1134367
595	287811	288182
596	867658	867640
597	1364853	1364743
598	1797942	1797858
599	924603	924525
600	1639955	1639867
601	1907046	1907272
602	1270434	1270338
603	1208519	1208439
604	532482	532400
605	1380833	1380751
606	1178454	1178375
607	1758889	1759141
609	1197380	1197316
610	1433854	1433778
611	77869	78140
613	950832	950741
614	769667	769577
615	1814221	1814121
616	911339	911335
617	1640559	1640457
618	1814193	1814107
619	1212793	1212719
620	1683504	1683407
621	1810124	1810072
622	785715	785665
623	1661964	1661883
624	1226614	1226572
625	1560777	1560723
626	1238297	1238250
627	486150	486027
628	321131	321422
629	762624	762929
630	108240	108155
631	956544	956453
632	398897	399155
633	2043224	2043110
634	671578	671448
635	1627021	1626873
636	1926184	1926418
