event	TDC0	TDC1
742	1470412	1470527
743	805791	805748
744	422595	422488
745	681030	681014
746	1248033	1247968
747	1508161	1508162
748	1187133	1187035
749	1161892	1161828
750	1636758	1636538
751	1099216	1099210
752	1205960	1205948
753	115214	115162
754	1072239	1072162
755	645805	645743
756	1450559	1450539
757	158601	158560
758	1333040	1332992
759	1299014	1298955
760	1063596	1063513
761	1327215	1327136
762	2036959	2037226
763	893925	893853
764	319728	320012
765	2042042	2042033
766	1531499	1531786
767	202885	202857
768	1713087	1713089
769	2089656	2089599
770	1335283	1335277
771	533567	533518
772	1242675	1242655
773	1099903	1100159
774	762163	762122
775	1210031	1209993
776	1034937	1035261
777	1431302	1431289
778	551265	551263
779	114491	114468
780	1913310	1913137
781	819748	820058
782	1799414	1799736
783	1091758	1091717
784	1136286	1136245
785	82642	82646
786	1634995	1634945
787	1525319	1525686
788	1633486	1633815
789	32735	32716
791	1104733	1104674
792	187572	187501
793	633055	632984
794	1249971	1249954
795	68859	69126
796	339464	339463
797	1168956	1169280
798	1215809	1215781
803	1386727	1386674
804	307399	307353
805	318521	318854
806	1425973	1426193
807	1956818	1956757
808	1873817	1874141
809	465076	465013
810	985671	985620
